DateReport,geoid,RegionName,Country,pInf,AB
2022-01-28,MEX484_20_20169,"San José Independencia, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20170,"San José Lachiguiri, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20171,"San José Tenango, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20175,"San Juan Bautista Atatlahuca, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20176,"San Juan Bautista Coixtlahuaca, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20179,"San Juan Bautista Jayacatlán, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20180,"San Juan Bautista Lo de Soto, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20181,"San Juan Bautista Suchitepec, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20182,"San Juan Bautista Tlacoatzintepec, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20183,"San Juan Bautista Tlachichilco, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20186,"San Juan Cieneguilla, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20187,"San Juan Coatzóspam, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20189,"San Juan Comaltepec, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20191,"San Juan Chicomezúchil, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20193,"San Juan del Estado, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20194,"San Juan del Río, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20195,"San Juan Diuxi, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20199,"San Juan Ihualtepec, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20200,"San Juan Juquila Mixes, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20201,"San Juan Juquila Vijanos, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20202,"San Juan Lachao, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20203,"San Juan Lachigalla, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20204,"San Juan Lajarcia, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20205,"San Juan Lalana, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20206,"San Juan de los Cués, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20207,"San Juan Mazatlán, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20209,"San Juan Mixtepec, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20210,"San Juan Ñumí, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20212,"San Juan Petlapa, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20216,"San Juan Tabaá, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20217,"San Juan Tamazola, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20218,"San Juan Teita, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20219,"San Juan Teitipac, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20220,"San Juan Tepeuxila, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20221,"San Juan Teposcolula, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20222,"San Juan Yaeé, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20223,"San Juan Yatzona, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20224,"San Juan Yucuita, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20226,"San Lorenzo Albarradas, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20228,"San Lorenzo Cuaunecuiltitla, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20229,"San Lorenzo Texmelúcan, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20231,"San Lucas Camotlán, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20233,"San Lucas Quiaviní, Oaxaca, Mexico",Mexico,NA,3
2022-01-28,MEX484_20_20234,"San Lucas Zoquiápam, Oaxaca, Mexico",Mexico,NA,3
